modelo,horizonte,paciente,simulacion,MAE,RMSE,pct_A,pct_AB,pct_DE
ARIMAX,15min,10,6,0.25501784992547605,0.2940879704148225,100.0,100.0,0.0
ARIMAX,15min,11,1,0.24692087547257463,0.2867532876683766,100.0,100.0,0.0
ARIMAX,15min,11,2,0.24938485909715777,0.2903507043477122,100.0,100.0,0.0
ARIMAX,15min,11,3,0.2515344543526502,0.29008456453702985,100.0,100.0,0.0
ARIMAX,15min,11,4,0.24831882678811945,0.28766200565083433,100.0,100.0,0.0
ARIMAX,15min,11,5,0.24352999250541854,0.2829871046641031,100.0,100.0,0.0
ARIMAX,15min,11,6,0.2499074085564369,0.2903100744066667,100.0,100.0,0.0
ARIMAX,15min,12,1,0.24225021566004437,0.2836257682687971,100.0,100.0,0.0
ARIMAX,15min,12,2,0.24436706702985575,0.28460956742274923,100.0,100.0,0.0
ARIMAX,15min,12,3,0.24209373614641225,0.28449494323794455,100.0,100.0,0.0
ARIMAX,15min,12,4,0.2417329353742244,0.2830259176169676,100.0,100.0,0.0
ARIMAX,15min,12,5,0.2476339570267278,0.2859172299666245,100.0,100.0,0.0
ARIMAX,15min,12,6,0.2525076404648772,0.2916735719800526,100.0,100.0,0.0
ARIMAX,15min,13,1,0.24597051487180271,0.28704333640802754,100.0,100.0,0.0
ARIMAX,15min,13,2,0.24789091315374476,0.28849817656615623,100.0,100.0,0.0
ARIMAX,15min,13,3,0.2592676734977038,0.4534936884658561,100.0,100.0,0.0
ARIMAX,15min,13,4,0.24719975698281763,0.2854012103457764,100.0,100.0,0.0
ARIMAX,15min,13,5,0.2531208015771933,0.29175656528811933,100.0,100.0,0.0
ARIMAX,15min,13,6,0.2506976968675324,0.29004368782300755,100.0,100.0,0.0
ARIMAX,15min,14,1,0.25372684282493363,0.2940345474617858,100.0,100.0,0.0
ARIMAX,15min,14,2,0.2501214033028823,0.2890102305040428,100.0,100.0,0.0
ARIMAX,15min,14,3,0.24359794745714192,0.2838185464728015,100.0,100.0,0.0
ARIMAX,15min,14,4,0.2569068027407302,0.2959569694199281,100.0,100.0,0.0
ARIMAX,15min,14,5,0.24865886745688948,0.2880945414197688,100.0,100.0,0.0
ARIMAX,15min,14,6,0.24970701831303418,0.2896298172753029,100.0,100.0,0.0
ARIMAX,15min,15,1,0.24924302638461118,0.2885144989450656,100.0,100.0,0.0
ARIMAX,15min,15,2,0.2547789829604776,0.29347179374819526,100.0,100.0,0.0
ARIMAX,15min,15,3,0.249827229327149,0.2893951368279977,100.0,100.0,0.0
ARIMAX,15min,15,4,0.25279899164456415,0.2922352399464046,100.0,100.0,0.0
ARIMAX,15min,15,5,0.26356250027007494,0.3014839303853235,100.0,100.0,0.0
ARIMAX,15min,15,6,0.2504401264567824,0.28886858841849344,100.0,100.0,0.0
ARIMAX,15min,16,1,0.2434674846661185,0.28229817033812543,100.0,100.0,0.0
ARIMAX,15min,16,2,0.25203746991658427,0.2912135558481988,100.0,100.0,0.0
ARIMAX,15min,16,3,0.2488235338486598,0.28814087414321765,100.0,100.0,0.0
ARIMAX,15min,16,4,0.2422038855531872,0.2823446126406888,100.0,100.0,0.0
ARIMAX,15min,16,5,0.25358639741687594,0.2929951143668059,100.0,100.0,0.0
ARIMAX,15min,16,6,0.24928312081245402,0.2885816716034812,100.0,100.0,0.0
ARIMAX,15min,17,1,0.2477116895106246,0.2879668016296397,100.0,100.0,0.0
ARIMAX,15min,17,2,0.24195125573667206,0.2826665728388843,100.0,100.0,0.0
ARIMAX,15min,17,3,0.24957522856037467,0.2886940775618439,100.0,100.0,0.0
ARIMAX,15min,17,4,0.2522687621400391,0.29132292924475883,100.0,100.0,0.0
ARIMAX,15min,17,5,0.2477203738615051,0.28592002274616507,100.0,100.0,0.0
ARIMAX,15min,17,6,0.2429950656518487,0.28471512063003057,100.0,100.0,0.0
ARIMAX,15min,18,1,0.24811317843393657,0.287599102870145,100.0,100.0,0.0
ARIMAX,15min,18,2,0.25492359865986663,0.2938864677288682,100.0,100.0,0.0
ARIMAX,15min,18,3,0.2527359977486721,0.2923813282889348,100.0,100.0,0.0
ARIMAX,15min,18,4,0.24255607264699725,0.2829475054311571,100.0,100.0,0.0
ARIMAX,15min,18,5,0.24475580893877427,0.28383557924332925,100.0,100.0,0.0
ARIMAX,15min,18,6,0.25128369438046294,0.30357670464927267,100.0,100.0,0.0
ARIMAX,15min,19,1,0.25157439987898356,0.2907177584820495,100.0,100.0,0.0
ARIMAX,15min,19,2,0.25245685835979936,0.2922284383907559,100.0,100.0,0.0
ARIMAX,15min,19,3,0.2547399946617781,0.2946212506446327,100.0,100.0,0.0
ARIMAX,15min,19,4,0.2517782899047497,0.29044485959882593,100.0,100.0,0.0
ARIMAX,15min,19,5,0.2504477727315478,0.28945400452768855,100.0,100.0,0.0
ARIMAX,15min,19,6,0.24403025353084135,0.2834466331817869,100.0,100.0,0.0
ARIMAX,30min,0,1,0.24331469801879244,0.2844171691563741,100.0,100.0,0.0
ARIMAX,30min,0,2,0.2593040339412477,0.2980355629029092,100.0,100.0,0.0
ARIMAX,30min,0,3,0.24095742847462093,0.28115734965304096,100.0,100.0,0.0
ARIMAX,30min,0,4,0.24440437098529394,0.2849241063103297,100.0,100.0,0.0
ARIMAX,30min,0,5,0.24099123852475468,0.282900013822575,100.0,100.0,0.0
ARIMAX,30min,0,6,0.2489132547674883,0.28944355529560284,100.0,100.0,0.0
ARIMAX,30min,1,1,0.2549014797821449,0.30449294163500473,100.0,100.0,0.0
ARIMAX,30min,1,2,0.24753236663165898,0.28617678139153846,100.0,100.0,0.0
ARIMAX,30min,1,3,0.24573621100631757,0.2862938426886205,100.0,100.0,0.0
ARIMAX,30min,1,4,0.24315462210797104,0.28281737953769837,100.0,100.0,0.0
ARIMAX,30min,1,5,0.24843170303720646,0.2870528940100144,100.0,100.0,0.0
ARIMAX,30min,1,6,0.24786570001799524,0.2879170163871633,100.0,100.0,0.0
ARIMAX,30min,2,1,0.2541251431846455,0.29107341985240764,100.0,100.0,0.0
ARIMAX,30min,2,2,0.250429405787817,0.2894660316525882,100.0,100.0,0.0
ARIMAX,30min,2,3,0.24886669392606467,0.2883032189279755,100.0,100.0,0.0
ARIMAX,30min,2,4,0.25146800828544774,0.2889273048891132,100.0,100.0,0.0
ARIMAX,30min,2,5,0.25536942863366635,0.29423129659918335,100.0,100.0,0.0
ARIMAX,30min,2,6,0.24982242319868625,0.2896172999862892,100.0,100.0,0.0
